box_loss 	 obj_loss 	 cls_loss 	 Precision 	 Recall 	 mAP@0.5 	 mAP@0.5_.95 	 lr 
 0.0432 	 0.0262 	 0.0101 	 0.9305 	 0.9500 	 0.9461 	 0.6094 	 0.000632 
 0.0436 	 0.0260 	 0.0105 	 0.9742 	 0.9137 	 0.9547 	 0.5633 	 0.000593 
 0.0428 	 0.0251 	 0.0102 	 0.9513 	 0.9281 	 0.9586 	 0.5831 	 0.000553 
 0.0430 	 0.0256 	 0.0102 	 0.9488 	 0.9333 	 0.9592 	 0.5842 	 0.000513 
 0.0448 	 0.0254 	 0.0103 	 0.9427 	 0.9086 	 0.9504 	 0.5839 	 0.000473 
 0.0438 	 0.0253 	 0.0105 	 0.9833 	 0.9000 	 0.9605 	 0.5609 	 0.000434 
 0.0420 	 0.0250 	 0.0098 	 0.9567 	 0.9327 	 0.9531 	 0.5633 	 0.000394 
 0.0430 	 0.0262 	 0.0101 	 0.9529 	 0.9167 	 0.9568 	 0.5990 	 0.000354 
 0.0432 	 0.0257 	 0.0100 	 0.9654 	 0.9000 	 0.9531 	 0.5722 	 0.000314 
 0.0434 	 0.0253 	 0.0102 	 0.9708 	 0.9455 	 0.9776 	 0.5605 	 0.000275 
 0.0420 	 0.0252 	 0.0097 	 0.9564 	 0.9333 	 0.9626 	 0.5850 	 0.000235 
 0.0427 	 0.0256 	 0.0098 	 0.9744 	 0.9286 	 0.9588 	 0.5687 	 0.000195 
 0.0414 	 0.0260 	 0.0093 	 0.9745 	 0.9332 	 0.9586 	 0.5784 	 0.000155 
 0.0429 	 0.0255 	 0.0101 	 0.9770 	 0.9233 	 0.9589 	 0.5678 	 0.000116 
 0.0421 	 0.0259 	 0.0099 	 0.9544 	 0.9577 	 0.9645 	 0.5858 	 0.000076 
 0.0412 	 0.0255 	 0.0098 	 0.9490 	 0.9667 	 0.9618 	 0.5972 	 0.000036 
